,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1393047135用户数据,0.564884968,0.599118687,0.534198964,0.567556212,0.545852709,0.58112727,0.563797083,0.587974238,0.568251997,0.588407714,0.601222648,0.579947202,0.576889334,0.554785614,0.569282392,0.604458348,0.607418402,0.601469852,0.58536843,0.586076462
1398218021用户数据,0.620409253,0.628394272,0.622829149,0.589986504,0.634318999,0.576453457,0.623460825,0.606311039,0.727762799,0.614247929,0.509943745,0.583958617,0.605600633,0.614247929,0.614247929,0.583962697,0.578907596,0.678417157,0.615367206,0.569510766
1400122904用户数据,0.609564183,0.614247929,0.584192035,0.600828614,0.601306017,0.599921903,0.614247929,0.578582376,0.614247929,0.614247929,0.629455245,0.646021584,0.57198604,0.583575494,0.598900883,0.63689138,0.531565714,0.614247929,0.59724581,0.614247929
1401657862用户数据,0.5797693,0.603647738,0.60864736,0.592891812,0.549113375,0.573022564,0.559953478,0.579381912,0.595557378,0.598369839,0.620250593,0.566342765,0.577162082,0.572877952,0.554246812,0.603672818,0.572773387,0.619561929,0.675961874,0.614247929
1405045571用户数据,0.587330418,0.581491387,0.600732668,0.615597704,0.578851245,0.559846384,0.599580279,0.599984115,0.583267079,0.631059676,0.59167848,0.638868786,0.600165478,0.587480098,0.601630818,0.610795303,0.616678023,0.608291729,0.588829466,0.612630259
1405229145用户数据,0.58152877,0.630695267,0.585113852,0.566991439,0.563422658,0.600699365,0.57919035,0.588782064,0.588848406,0.588359873,0.572046262,0.58017225,0.580224722,0.57171004,0.585128239,0.567454715,0.584951994,0.593463186,0.557154776,0.560399271
1405496102用户数据,0.626369449,0.610826691,0.621636349,0.63915592,0.608850492,0.607070999,0.585693946,0.606778734,0.616379371,0.608062379,0.613747597,0.612567722,0.606960024,0.638408272,0.610592281,0.624076055,0.61263247,0.632368189,0.638057579,0.595430547
1409787967用户数据,0.603925214,0.67322827,0.626238978,0.640544472,0.672827228,0.578118426,0.647198785,0.62297061,0.717431028,0.588365892,0.614247929,0.614247929,0.614247929,0.67122138,0.683090849,0.643393579,0.617084402,0.614247929,0.658025857,0.614247929
1409919873用户数据,0.614247929,0.591324049,0.576797911,0.554098941,0.568181583,0.595230843,0.575589504,0.593539645,0.593077613,0.571915767,0.593403799,0.589853289,0.600226325,0.590531784,0.557894903,0.60380902,0.580100068,0.617012673,0.641785097,0.630335153
1412471314用户数据,0.63460699,0.613194937,0.625852805,0.620299739,0.621605599,0.613498563,0.606586927,0.64783871,0.636166981,0.621064963,0.642323794,0.648853272,0.620261052,0.619987443,0.669058335,0.625457178,0.611899728,0.60698539,0.642638481,0.634483969
1415530725用户数据,0.572028063,0.613071405,0.624570714,0.734346019,0.527061882,0.532632019,0.609210398,0.640684141,0.635467443,0.855453309,0.844903919,0.572675548,0.611695994,0.642734654,0.574984007,0.716161217,0.614247929,0.614247929,0.512370375,0.597991302
1416531161用户数据,0.581757891,0.629470355,0.626644592,0.620235089,0.561637695,0.565394357,0.624422862,0.675211289,0.635568382,0.666113992,0.600117619,0.575777986,0.611900598,0.620558483,0.608959304,0.616653088,0.535775043,0.571384554,0.631603132,0.561675037
1420168842用户数据,0.632795108,0.656921975,0.591637398,0.611303452,0.578910399,0.592359487,0.635378729,0.605997984,0.623462515,0.638757205,0.622394902,0.618382171,0.599506831,0.505517067,0.620877334,0.733810199,0.656821902,0.612757646,0.600401151,0.648017302
1428708077用户数据,0.603776624,0.602157448,0.622745231,0.612391091,0.632089094,0.603222751,0.610329629,0.625670936,0.623406943,0.61090454,0.60958796,0.615208217,0.603921992,0.611799235,0.594177351,0.585725691,0.604385888,0.581540751,0.60704239,0.572066204
1434924447用户数据,0.604475649,0.590472497,0.599261153,0.595598813,0.580518544,0.589090379,0.594484746,0.596196059,0.584185871,0.589259973,0.583884083,0.587394534,0.573487531,0.596312946,0.600948333,0.590092303,0.588242089,0.605471716,0.612403433,0.579705576
1435482225用户数据,0.6361293,0.574060048,0.569767223,0.588418992,0.612127703,0.611340962,0.564911598,0.642288001,0.641333668,0.577349372,0.599222483,0.637377218,0.601531317,0.613657807,0.597116697,0.60072727,0.599022904,0.595968593,0.632122882,0.600823494
1435543452用户数据,0.586921337,0.608205123,0.636995367,0.627048626,0.568997475,0.605069226,0.589987675,0.620062846,0.58278829,0.603566891,0.618843592,0.614247929,0.424402212,0.490592002,0.589593838,0.553913697,0.510517314,0.547801928,0.583371164,0.599361025
1439142762用户数据,0.632369359,0.648472685,0.66440291,0.664879597,0.634693522,0.638057579,0.649515115,0.640204063,0.642444825,0.640443662,0.637050261,0.634740277,0.630201486,0.657442573,0.655316393,0.641958195,0.661763896,0.64837232,0.638476102,0.693282325
1448990710用户数据,0.628399796,0.625499441,0.609100729,0.628024547,0.598469477,0.646946752,0.648175996,0.632561619,0.598601341,0.633240086,0.625003025,0.611270795,0.617278828,0.613842084,0.641724974,0.64205702,0.663623417,0.647639966,0.625279894,0.641888221
1452637693用户数据,0.585892172,0.581128282,0.647506417,0.596609716,0.634324695,0.578433903,0.595297817,0.654849387,0.624256082,0.582098572,0.625689712,0.60868998,0.601794841,0.634199344,0.576190209,0.640873451,0.593204665,0.613154591,0.613330451,0.585034683
1457522725用户数据,0.753062994,0.613049388,0.658182403,0.641675933,0.655502826,0.614247929,0.627423836,0.624034679,0.626447488,0.66356823,0.614247929,0.657127297,0.622587424,0.640930546,0.640196456,0.673169583,0.634858136,0.637879537,0.606608932,0.723816186
1476124912用户数据,0.618228869,0.604935344,0.601937253,0.600135332,0.592442898,0.605960113,0.610633468,0.605793757,0.597264737,0.597266204,0.594045253,0.615266133,0.604098078,0.607120151,0.606415256,0.62126159,0.59289135,0.595146878,0.614378887,0.602407219
1488316747用户数据,0.520861799,0.639037737,0.587457037,0.637973399,0.574252833,0.589011093,0.614567921,0.596041613,0.608431894,0.629689204,0.614247929,0.658902796,0.563056913,0.61521337,0.608090797,0.582959921,0.615490407,0.617926216,0.588414506,0.600495226
1491319055用户数据,0.58759108,0.620129463,0.606287831,0.601705035,0.575409239,0.597611627,0.610746,0.623978067,0.626496973,0.594546484,0.610437717,0.590654147,0.613603367,0.621794766,0.617574245,0.62078454,0.631365172,0.607175689,0.612127364,0.642290576
1491440847用户数据,0.596480058,0.610677001,0.628999983,0.600930489,0.600360831,0.619165338,0.60885622,0.577003362,0.61372527,0.579802394,0.635827638,0.633693799,0.621396562,0.601277545,0.634251136,0.738881854,0.631136423,0.705197768,0.682852059,0.689422312
1506268981用户数据,0.602895672,0.616439681,0.606471959,0.657836463,0.615037379,0.6192073,0.619346124,0.63913983,0.64151272,0.632352846,0.625694458,0.653905933,0.625589172,0.636881218,0.644335141,0.654766299,0.662509708,0.606131541,0.648695776,0.626957391
1519144751用户数据,0.600176235,0.599054447,0.604142256,0.598911932,0.541027753,0.597259457,0.592654765,0.602862457,0.576127301,0.610987089,0.585401259,0.589650046,0.608672173,0.602976782,0.58958149,0.590026472,0.637660657,0.584793088,0.578073541,0.589757028
1547804201用户数据,0.600323732,0.618066074,0.63426262,0.589458494,0.599500519,0.600965238,0.599682756,0.604417696,0.599367625,0.601518999,0.537162014,0.613365052,0.577847359,0.598590441,0.636332664,0.588917784,0.559988421,0.613519164,0.580352164,0.597027508
1562084791用户数据,0.588018126,0.590319278,0.630109022,0.593553707,0.639723839,0.563585897,0.626090013,0.413747222,0.614247929,0.58282129,0.656625808,0.551644098,0.536314678,0.444628501,0.580537396,0.580585328,0.614247929,0.597149124,0.437560278,0.410775073
1562388250用户数据,0.639437912,0.574044516,0.616030982,0.603956475,0.615845388,0.585227848,0.621661031,0.608293845,0.645815942,0.640315686,0.624954095,0.62174893,0.607505028,0.627183756,0.628837782,0.615200292,0.599423052,0.646546218,0.643112159,0.632154979
1563730490用户数据,0.568895258,0.563640506,0.655681536,0.544457191,0.545836764,0.595868741,0.559932637,0.579596606,0.588905795,0.573630586,0.582194876,0.576765727,0.555439052,0.533143473,0.553526127,0.555375799,0.592793996,0.580135532,0.545005143,0.503703917
